'Non bird of prey', 2, 'Piping'
'Non bird of prey', 3, 'Little Ringed'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 2, 'Mountain'
'Non bird of prey', 3, 'Eurasian'
'Non bird of prey', 2, 'Northern'
'Non bird of prey', 2, 'Upland'
'Non bird of prey', 3, 'Bristle-thighed'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 2, 'Little'
'Non bird of prey', 3, 'Eskimo'
'Non bird of prey', 2, 'Long-billed'
'Non bird of prey', 3, 'Far Eastern'
'Non bird of prey', 3, 'Slender-billed'
'Non bird of prey', 3, 'Eurasian'
'Non bird of prey', 2, 'Bar-tailed'
'Non bird of prey', 2, 'Black-tailed'
'Non bird of prey', 4, 'Hudsonian'
'Non bird of prey', 2, 'Marbled'
'Non bird of prey', 2, 'Ruddy'
'Non bird of prey', 1, 'Black'
'Non bird of prey', 1, 'Great'
'Non bird of prey', 1, 'Red'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 2, 'Broad-billed'
'Non bird of prey', 2, 'Sharp-tailed'
'Non bird of prey', 1, 'Stilt'
'Non bird of prey', 2, 'Curlew'
'Non bird of prey', 2, "Temminck's"
'Non bird of prey', 2, 'Long-toed'
'Non bird of prey', 2, 'Spoon-billed'
'Non bird of prey', 2, 'Red-necked'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 0, '<No modifier name>'
'Non bird of prey', 1, 'Rock'
'Non bird of prey', 2, 'Purple'
'Non bird of prey', 1, "Baird's"
'Non bird of prey', 2, 'Little'
'Non bird of prey', 1, 'Least'
'Non bird of prey', 2, 'White-rumped'
'Non bird of prey', 3, 'Buff-breasted'
'Non bird of prey', 3, 'Pectoral'
'Non bird of prey', 5, 'Semipalmated'
'Non bird of prey', 2, 'Western'
'Non bird of prey', 2, 'Short-billed'
'Non bird of prey', 2, 'Long-billed'
'Non bird of prey', 1, 'Jack'
'Non bird of prey', 3, 'Eurasian'
'Non bird of prey', 4, 'American'
'Non bird of prey', 4, 'Solitary'
'Non bird of prey', 2, 'Common'
'Non bird of prey', 2, "Wilson's"
'Non bird of prey', 2, 'Pin-tailed'
'Non bird of prey', 2, 'Terek'
'Non bird of prey', 2, "Wilson's"
'Non bird of prey', 2, 'Red-necked'
'Non bird of prey', 1, 'Red'
'Non bird of prey', 2, 'Common'
'Non bird of prey', 2, 'Spotted'
'Non bird of prey', 1, 'Green'
